sample_size,seed,method,score_field,total_records,full_accuracy,aurc,normalized_aurc,incorrect_predictions,invalid_claim_rate,high_entailment_incorrect,high_entailment_incorrect_rate_among_incorrect,error_rate_within_high_entailment
200,17,Confidence only,calibrated_confidence,200,0.375,0.3496804249430982,0.24828085620822915,125,0.125,30,0.24,0.375
200,17,Old semantic verifier only,entailment_probability,200,0.375,0.4224806677407825,0.4470510895721224,125,0.125,30,0.24,0.375
200,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,200,0.375,0.46979747231155544,0.5762425857145698,125,0.125,30,0.24,0.375
200,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,200,0.375,0.40314886311581993,0.3942684727980581,125,0.125,30,0.24,0.375
500,17,Confidence only,calibrated_confidence,500,0.41,0.29074326459087435,0.18004194060957707,295,0.124,70,0.23728813559322035,0.33980582524271846
500,17,Old semantic verifier only,entailment_probability,500,0.41,0.42377292753941403,0.5445408185496868,295,0.124,70,0.23728813559322035,0.33980582524271846
500,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,500,0.41,0.40692187506821104,0.49836923860484844,295,0.124,70,0.23728813559322035,0.33980582524271846
500,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,500,0.41,0.3324288512242969,0.29425969638962013,295,0.124,70,0.23728813559322035,0.33980582524271846
1000,17,Confidence only,calibrated_confidence,1000,0.413,0.297167707357845,0.20577734170397236,587,0.116,140,0.23850085178875638,0.3389830508474576
1000,17,Old semantic verifier only,entailment_probability,1000,0.413,0.42794314470947786,0.5641391189455355,587,0.116,140,0.23850085178875638,0.3389830508474576
1000,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,1000,0.413,0.3953178565751354,0.4747365791749808,587,0.116,140,0.23850085178875638,0.3389830508474576
1000,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,1000,0.413,0.3366243395603782,0.3138997011195797,587,0.116,140,0.23850085178875638,0.3389830508474576
2000,17,Confidence only,calibrated_confidence,2000,0.428,0.2865106954683903,0.21368312206938614,1144,0.1195,296,0.25874125874125875,0.3433874709976798
2000,17,Old semantic verifier only,entailment_probability,2000,0.428,0.4084867410956913,0.549639047063984,1144,0.1195,296,0.25874125874125875,0.3433874709976798
2000,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,2000,0.428,0.3899403418027321,0.49855710964142297,1144,0.1195,296,0.25874125874125875,0.3433874709976798
2000,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,2000,0.428,0.332780322441173,0.3411225323966626,1144,0.1195,296,0.25874125874125875,0.3433874709976798
5000,17,Confidence only,calibrated_confidence,5000,0.4228,0.28943817343926337,0.20925482680207846,2886,0.1176,754,0.26126126126126126,0.351024208566108
5000,17,Old semantic verifier only,entailment_probability,5000,0.4228,0.3950433454841489,0.4994489121583024,2886,0.1176,754,0.26126126126126126,0.351024208566108
5000,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,5000,0.4228,0.3910670677249632,0.48852243701408554,2886,0.1176,754,0.26126126126126126,0.351024208566108
5000,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,5000,0.4228,0.337055261697284,0.34010255998402644,2886,0.1176,754,0.26126126126126126,0.351024208566108
