case_id,record_index,question,gold_answers,is_answerable,prediction,correct,confidence,entailment_probability,contradiction_probability,neutral_probability,nli_label,claim,evidence,retriever_score,evidence_source,claim_valid,invalid_claim_reasons
1,64,What already existed in the USSR before 1973?,[UNANSWERABLE],false,a negotiated settlement based on equality between both parties,false,0.039728,0.990564,0.001406,0.008030,ENTAILMENT,a negotiated settlement based on equality between both parties already existed in the ussr before 1973.,"In the United States, scholars argue that there already existed a negotiated settlement based on equality between both parties prior to 1973. The possibility that the Middle East could become another superpower confrontation with the USSR was of",0.930000,,true,
2,38,What is the universal band that digital recievers will receive free to air channels on?,Ku band | 9.75/10.600 GHz | universal Ku band,true,Ku band LNB,false,0.766258,0.985532,0.005962,0.008506,ENTAILMENT,the universal band that digital recievers will receive free to air channels on is ku band lnb.,Provided is a universal Ku band LNB (9.75/10.600 GHz) which is fitted at the end of the dish and pointed at the correct satellite constellation; most digit,0.727778,,true,
3,190,Who invaded Scotland in the 10th century?,[UNANSWERABLE],false,William,false,0.045821,0.983715,0.007311,0.008975,ENTAILMENT,william invaded scotland in the 10th century.,"One of the claimants of the English throne opposing William the Conqueror, Edgar Atheling, eventually fled to Scotland. King Malcolm III of Scotland married Edgar's sister Margare",0.737500,,true,
4,19,What is a common occurrence during summer days?,thunderstorms,true,thunderstorms to erupt,false,0.921626,0.982008,0.000677,0.017315,ENTAILMENT,thunderstorms to erupt is a common occurrence during summer days.,"°C) possible. The highest temperature recorded was 104 °F (40 °C) on July 11, 1879 and July 28, 1872. It is common for thunderstorms to erupt during a typical summer afternoon. These are caused by the rapid heating of the land relative to the water, combined wi",0.860000,,true,
5,66,What separates the neuroimmune system and peripheral immune system in humans?,"blood–brain barrier, blood–cerebrospinal fluid barrier | blood–brain barrier, blood–cerebrospinal fluid barrier, and similar fluid–brain barriers | fluid–brain barriers",true,blood–brain barrier,false,0.748079,0.980511,0.008714,0.010775,ENTAILMENT,the blood–brain barrier separates the neuroimmune system and peripheral immune system in humans.,"nate immune system versus the adaptive immune system, or humoral immunity versus cell-mediated immunity. In humans, the blood–brain barrier, blood–cerebrospinal fluid barrier, and similar fluid–brain barriers separate the peripheral immune system from the neu",0.883333,,true,
6,36,NSF developed into what through public funding and private partnerships?,[UNANSWERABLE],false,Internet backbone,false,0.505570,0.979104,0.004862,0.016034,ENTAILMENT,nsf developed into internet backbone through public funding and private partnerships.,"mputing centers, through further public funding and private industry partnerships it developed into a major part of the Internet backbone.",0.950000,,true,
7,105,What Major Soccer League teams played in Los Angeles in 2014?,[UNANSWERABLE],false,LA Galaxy and Chivas USA,false,0.782004,0.975128,0.017281,0.007591,ENTAILMENT,la galaxy and chivas usa played in los angeles in 2014.,"From 2005 to 2014, there were two Major League Soccer teams in Los Angeles — the LA Galaxy and Chivas USA — that both played at the StubHub Center and were local rivals. However, Chivas were suspended following the 2014 MLS s",1.000000,,true,
8,9,What is the cryogenic and chemical compound storage method?,[UNANSWERABLE],false,Oxygen,false,0.300576,0.972650,0.002859,0.024491,ENTAILMENT,the cryogenic and chemical compound storage method is oxygen.,"Oxygen storage methods include high pressure oxygen tanks, cryogenics and chemical compounds. For reasons of economy, oxygen i",0.790000,,true,
9,78,What did John Dalton hypothesize in 1805?,[UNANSWERABLE],false,all elements were monatomic,false,0.539738,0.969111,0.016838,0.014052,ENTAILMENT,john dalton hypothesized all elements were monatomic in 1805.,John Dalton's original atomic hypothesis assumed that all elements were monatomic and that the atoms in compounds would normally have the simplest atomic ratios with respect to one another. For example,0.737500,,true,
10,120,What type of microscope is used by petrologists?,petrographic microscope | petrographic,true,optical microscopy,false,0.556435,0.967105,0.008032,0.024864,ENTAILMENT,optical microscopy is used by petrologists.,"identify rock samples in the laboratory. Two of the primary methods for identifying rocks in the laboratory are through optical microscopy and by using an electron microprobe. In an optical mineralogy analysis, thin sections of rock samples are analyzed thro",0.650000,,true,
